[Tue Apr 25 21:36:33.873353 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:34.581461 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:34.871818 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:35.584358 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:35.875831 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:36.580406 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:36.872069 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:37.581089 2017] [:error] [pid 9168] [client 127.0.0.1:58980] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:37.871092 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:38.583441 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:38.870942 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:39.584296 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:39.874076 2017] [:error] [pid 9528] [client 127.0.0.1:58982] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:40.583273 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:40.873920 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:41.585423 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:41.872242 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:42.580985 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:42.871104 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:43.583262 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:43.872701 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:44.589477 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:44.872590 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:45.581261 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:45.871847 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:46.583548 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:46.874792 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:47.583258 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:47.873545 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:48.584317 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:48.877508 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:49.584485 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:49.873455 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:36:50.584625 2017] [:error] [pid 4580] [client 127.0.0.1:59020] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/admin
[Tue Apr 25 21:36:50.870832 2017] [:error] [pid 9167] [client 127.0.0.1:59022] PHP Parse error:  syntax error, unexpected '<<' (T_SL), expecting ']' in /var/www/currency/config/db.php on line 5, referer: http://currency/
[Tue Apr 25 21:40:26.321405 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:26.874476 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:27.344343 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:27.874155 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:28.362192 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:28.873493 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:29.381925 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:29.871791 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:30.401192 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:30.870826 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:31.437673 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:31.871193 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:32.455922 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:32.872560 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:33.480513 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:33.870881 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:34.502847 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:34.871026 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:35.529183 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:35.871707 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 11, referer: http://currency/admin
[Tue Apr 25 21:40:36.546890 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:36.873513 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:37.571445 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:37.874293 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:38.592449 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:38.873811 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:39.611514 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:39.874238 2017] [:error] [pid 3068] [client 127.0.0.1:59214] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
[Tue Apr 25 21:40:40.635426 2017] [:error] [pid 4154] [client 127.0.0.1:59212] PHP Parse error:  syntax error, unexpected ''charset'' (T_CONSTANT_ENCAPSED_STRING), expecting ']' in /var/www/currency/config/db.php on line 12, referer: http://currency/admin
